"surface","prov","n"
"DALHOUSIE","NB",2013
"CAMPBELL'S BAY","QC",2008
"UTTERSON","ON",2008
"CREIGHTON","SK",2006
"SAINT-JACQUES","NB",2003
"STUKELY-SUD","QC",2002
"STEVENSVILLE","ON",1999
"BURY","QC",1999
"SAINT-ETIENNE-DE-BOLTON","QC",1995
"BROKENHEAD","MB",1994
"DURHAM","ON",1992
"SAINT-STANISLAS","QC",1990
"BRUDENELL, LYNDOCH AND RAGLAN","ON",1988
"PENDER ISLAND","BC",1986
"TAYLOR","BC",1986
"BROOKE-ALVINSTON","ON",1986
"SHELLBROOK","SK",1981
"SAINT-BRUNO-DE-GUIGUES","QC",1980
"LES MECHINS","QC",1980
"SAINT-GABRIEL-DE-RIMOUSKI","QC",1978
"OKANAGAN FALLS","BC",1978
"LONGUE-RIVE","QC",1977
"IGNACE","ON",1977
"EAST KOOTENAY E","BC",1976
"L'ANGE GARDIEN","QC",1970
"MONTCALM","QC",1967
"SAINTE-SABINE","QC",1966
"NORTHERN LIGHTS COUNTY","AB",1956
"SACRE-COEUR","QC",1956
"WASHAGO","ON",1951
"LUSKVILLE","QC",1949
"SAINT-LAZARE-DE-BELLECHASSE","QC",1943
"ELK POINT","AB",1942
"VINELAND","ON",1941
"CARLYLE","SK",1935
"SAINT-LOUIS-DE-BLANDFORD","QC",1933
"SOURIS-GLENWOOD","MB",1932
"MINESING","ON",1927
"TWO HILLS COUNTY NO. 21","AB",1926
"CACHE CREEK","BC",1923
"TADOUSSAC","QC",1917
"SAINTE-GENEVIEVE-DE-BATISCAN","QC",1914
"L'AVENIR","QC",1914
"CUMBERLAND","ON",1914
"MINBURN COUNTY NO. 27","AB",1914
"INVERNESS","QC",1914
"HARRISON PARK","MB",1912
"TROCHU","AB",1909
"SAINT-RENE-DE-MATANE","QC",1908
"BETSIAMITES","QC",1906
"SAINT-JUDE","QC",1904
"CLARENDON","QC",1904
"SAINTE-BRIGIDE-D'IBERVILLE","QC",1903
"BULKLEY-NECHAKO E","BC",1902
"SMOOTH ROCK FALLS","ON",1902
"MALPEQUE BAY","PE",1902
"SPRINGHILL","NS",1902
"APSLEY","ON",1891
"PEACE RIVER E","BC",1890
"CHENEVILLE","QC",1888
"CARRYING PLACE","ON",1883
"SAINT-CLAUDE","QC",1883
"GODMANCHESTER","QC",1881
"PORT ROWAN","ON",1878
"BOWDEN","AB",1876
"LAC SIMON","QC",1874
"LANGENBURG","SK",1874
"SAINT-EDOUARD-DE-LOTBINIERE","QC",1872
"CLAIRMONT","AB",1869
"L'ETANG-DU-NORD","QC",1864
"LANSDOWNE","ON",1862
"GIRARDVILLE","QC",1858
"STRATHCONA C","BC",1858
"RIVIERE-A-PIERRE","QC",1857
"TAVISTOCK","ON",1856
"PLAISANCE","QC",1855
"VANKLEEK HILL","ON",1854
"SNOW LAKE","MB",1852
"SAINT-HUGUES","QC",1852
"LANIGAN","SK",1851
"HALFMOON BAY","BC",1848
"SAINT-HILARION","QC",1848
"SAINT-PATRICE-DE-SHERRINGTON","QC",1846
"SAINT-LUDGER","QC",1845
"ALBERNI-CLAYOQUOT F","BC",1844
"NORWOOD","ON",1843
"LOTBINIERE","QC",1842
"HUBERDEAU","QC",1842
"CARLETON","QC",1839
"WADENA","SK",1839
"SAULNIERVILLE","NS",1835
"L'ORIGNAL","ON",1834
"FOAM LAKE","SK",1831
"MURRAY HARBOUR","PE",1829
"AUMOND","QC",1828
"ROBERTS CREEK","BC",1827
"SAINT-WENCESLAS","QC",1826
"MELITA","MB",1819
"BATISCAN","QC",1816
"HOWICK","QC",1816
"VAUXHALL","AB",1815
"CHARETTE","QC",1813
"EEYOU ISTCHEE BAIE-JAMES","QC",1812
"SAINT-LAURENT-DE-L'ILE-D'ORLEANS","QC",1812
"SAINTE-AGATHE-DE-LOTBINIERE","QC",1802
"HIGHLANDS","BC",1802
"BURKS FALLS","ON",1801
"TEULON","MB",1800
"THOMPSON-NICOLA J (COPPER DESERT COUNTRY)","BC",1800
"SAINT-PHILEMON","QC",1800
"LORETTE","MB",1798
"BULKLEY-NECHAKO B","BC",1796
"SAINTE-JEANNE-D'ARC","QC",1792
"TRECESSON","QC",1792
"FORT NELSON","BC",1791
"BORDEN-CARLETON","PE",1790
"OXBOW","SK",1789
"SAINT-PIERRE-DE-L'ILE-D'ORLEANS","QC",1788
"LORNE","MB",1784
"ARDEN","ON",1782
"REGINA BEACH","SK",1779
"WASKAGANISH","QC",1779
"THORSBY","AB",1778
"MITCHELL","MB",1776
"SAINT-DIDACE","QC",1775
"SAINTE-MONIQUE","QC",1772
"QATHET B","BC",1772
"SAINT-ROCH-DES-AULNAIES","QC",1767
"FORT SMITH","NT",1766
"WILKIE","SK",1765
"SAINTS-ANGES","QC",1764
"STRONG","ON",1762
"DENHOLM","QC",1761
"SOUTH PORCUPINE","ON",1760
"SWAN HILLS","AB",1758
"OPPORTUNITY NO. 17","AB",1758
"SAINTE-FLAVIE","QC",1756
"SAINT-URBAIN-PREMIER","QC",1755
"SAINT-CYRILLE-DE-LESSARD","QC",1752
"GORE BAY","ON",1752
"METCALFE","ON",1751
"GRAND-BARACHOIS","NB",1751
"SCHREIBER","ON",1750
"SAINTE-AURELIE","QC",1746
"NIPISSING, UNORGANIZED, NORTH PART","ON",1744
"GRANDE-DIGUE","NB",1744
"TSUU T'INA NATION 145","AB",1742
"FRASER VALLEY G","BC",1742
"DAWN-EUPHEMIA","ON",1740
"SAINTE-MARIE-SALOME","QC",1738
"BLACK CREEK","BC",1737
"CARIBOO I","BC",1736
"OKANAGAN-SIMILKAMEEN F","BC",1736
"SAINT-HERMENEGILDE","QC",1736
"TROIS-RIVES","QC",1734
"HASTINGS","ON",1732
"SAINT-MATHIEU-DE-RIOUX","QC",1732
"L'ISLE-AUX-COUDRES","QC",1730
"THOMPSON-NICOLA M (BEAUTIFUL NICOLA VALLEY - NORTH)","BC",1728
"LONGLAC","ON",1726
"MCLENNAN","AB",1721
"PREISSAC","QC",1719
"SAINT-THOMAS-DIDYME","QC",1719
"SAINT-PAUL-DE-MONTMINY","QC",1719
"SAINTE-THERESE-DE-GASPE","QC",1716
"EMO","ON",1716
"DALMENY","SK",1715
"LOCKEPORT","NS",1714
"ST. JOSEPH","ON",1714
"MASSET","BC",1713
"DESCHAILLONS-SUR-SAINT-LAURENT","QC",1713
"BON ACCORD","AB",1711
"GILLAM","MB",1706
"SORRENTO","BC",1705
"NORTH HATLEY","QC",1704
"OGDEN","QC",1704
"LAC LA BICHE","AB",1701
"SAINT-VALERIEN-DE-MILTON","QC",1700
"SAINT-BASILE","NB",1697
"INUVIK","NT",1697
"WHITEMOUTH","MB",1696
"SAINT-BENJAMIN","QC",1696
"CROSSROADS","PE",1694
"FRASER VALLEY C","BC",1692
"NAVAN","ON",1692
"OSGOODE","ON",1691
"SAINTE-THERESE-DE-LA-GATINEAU","QC",1690
"WATSON LAKE","YT",1689
"WARFIELD","BC",1688
"BALGONIE","SK",1686
"MALLORYTOWN","ON",1684
"JACKSONS POINT","ON",1684
"BOWMAN","QC",1682
"SAINT-SEBASTIEN","QC",1681
"NEWPORT","QC",1679
"SPANIARD'S BAY","NL",1678
"DESBIENS","QC",1677
"SAINT-VALERE","QC",1674
"GREENWOOD","NS",1673
"COBALT","ON",1673
"WOODLANDS","MB",1673
"MILLBROOK","ON",1672
"NORTH NORFOLK","MB",1672
"HARBOUR BRETON","NL",1670
"COURCELLES-SAINT-EVARISTE","QC",1668
"BASHAW","AB",1668
"THAMESFORD","ON",1668
"NOBEL","ON",1667
"PORTERS LAKE","NS",1666
"NORTHBROOK","ON",1665
"THOMPSON-NICOLA A (WELLS GRAY COUNTRY)","BC",1664
"SAINT-BONAVENTURE","QC",1661
"HARDISTY","AB",1661
"PORT ALICE","BC",1659
"MURRAY RIVER, PART 1","PE",1658
"KIAMIKA","QC",1658
"KIPLING","SK",1656
"WAKEFIELD","QC",1656
"SAINT-PATRICE-DE-BEAURIVAGE","QC",1656
"METIS-SUR-MER","QC",1656
"ZURICH","ON",1655
"TWO HILLS","AB",1654
"TUSKET","NS",1654
"SAINT-IRENEE","QC",1652
"HAM-NORD","QC",1652
"MACHAR","ON",1650
"BAIE VERTE","NL",1650
"BRUDERHEIM","AB",1650
"SAINT-NORBERT-D'ARTHABASKA","QC",1649
"MIDHURST","ON",1649
"KOOTENAY BOUNDARY A","BC",1648
"BOLTON-OUEST","QC",1647
"VAL-BRILLANT","QC",1647
"SAINTE-EULALIE","QC",1646
"SAINT-JUSTIN","QC",1645
"CAYUGA","ON",1644
"SAINT-ARSENE","QC",1644
"SAINT-FREDERIC","QC",1643
"TORY HILL","ON",1643
"VAUDREUIL-SUR-LE-LAC","QC",1643
"EAST KOOTENAY G","BC",1642
"RICHIBUCTO 15","NB",1642
"SAINT-NARCISSE-DE-BEAURIVAGE","QC",1638
"PORT MCNICOLL","ON",1636
"LIONS BAY","BC",1635
"ST.-CHARLES","ON",1634
"CHURCHILL","MB",1632
"ST. ANTHONY","NL",1631
"WYOMING","ON",1629
"CASTOR","AB",1628
"BISHOPS FALLS","NL",1627
"MELBOURNE","QC",1625
"SAINTE-CHRISTINE-D'AUVERGNE","QC",1625
"MULGRAVE-ET-DERRY","QC",1624
"ODESSA","ON",1623
"VAL-ALAIN","QC",1622
"FOREST","ON",1621
"LONG SAULT","ON",1621
"MACKLIN","SK",1620
"SAINTE-PETRONILLE","QC",1620
"GRENFELL","SK",1620
"SAINT-VALLIER","QC",1619
"MANNING","AB",1618
"MURDOCHVILLE","QC",1617
"GLENCOE","ON",1613
"TYNE VALLEY","PE",1613
"SAINT-URBAIN","QC",1610
"SAINTE-ANGELE-DE-MERICI","QC",1608
"BLIND BAY","BC",1601
"LAC-KENOGAMI","QC",1599
"NOBLEFORD","AB",1599
"LIONS HEAD","ON",1598
"BEGIN","QC",1598
"SAINT-SYLVESTRE","QC",1597
"DUNNOTTAR","MB",1596
"CAPREOL","ON",1593
"SAINT-NORBERT","QC",1590
"CORBEIL","ON",1589
"SEDGEWICK","AB",1587
"SAINTE-CECILE-DE-MASHAM","QC",1586
"DUHAMEL-OUEST","QC",1585
"MERRICKVILLE","ON",1585
"PALMERSTON","ON",1582
"GRANDVIEW","MB",1579
"KILLAM","AB",1578
"DIVISION NO. 19, UNORGANIZED","MB",1576
"BAIE-DU-FEBVRE","QC",1575
"DRESDEN","ON",1571
"ANNAPOLIS ROYAL","NS",1571
"BURFORD","ON",1571
"CHESTER BASIN","NS",1568
"ASHTON","ON",1567
"NORTH GOWER","ON",1566
"AKWESASNE 15","QC",1566
"MAIDSTONE","SK",1566
"DAVIDSON","SK",1565
"SHIPSHAW","QC",1563
"NOTRE-DAME-DE-LA-SALETTE","QC",1561
"CHANNEL-PORT-AUX-BASQUES","NL",1559
"SUNDERLAND","ON",1558
"NIPISSING 10","ON",1558
"COCAGNE","NB",1555
"EDENWOLD NO. 158","SK",1550
"LOUISE","MB",1550
"CAMPBELLVILLE","ON",1550
"SAINT-MAGLOIRE","QC",1548
"SAINT-MODESTE","QC",1547
"BRIDGETOWN","NS",1546
"SAINT-CAMILLE-DE-LELLIS","QC",1545
"ST GEORGE","ON",1543
"INDIAN BROOK 14","NS",1541
"DURHAM-SUD","QC",1541
"BON-CONSEIL","QC",1539
"PREECEVILLE","SK",1537
"TASCHEREAU","QC",1536
"KINGSTON","NS",1536
"PUVIRNITUQ","QC",1533
"SAINT-GEORGES-DE-WINDSOR","QC",1533
"KITIMAT-STIKINE B","BC",1532
"WOODVILLE","ON",1530
"KILLALOE","ON",1529
"BARRHEAD COUNTY NO. 11","AB",1528
"MACDONALD, MEREDITH AND ABERDEEN ADDITIONAL","ON",1526
"HORNEPAYNE","ON",1524
"BURGEO","NL",1523
"LANGHAM","SK",1523
"ALIX","AB",1521
"THORNDALE","ON",1521
"SAINTE-CECILE-DE-WHITTON","QC",1520
"LOURDES-DE-JOLIETTE","QC",1520
"SAINT-LEON-DE-STANDON","QC",1520
"HAMIOTA","MB",1520
"SAINT-PIERRE-DE-BROUGHTON","QC",1518
"COWICHAN VALLEY F","BC",1518
"DUNDALK","ON",1517
"LIVERPOOL","NS",1516
"FATIMA","QC",1511
"BADDECK","NS",1510
"LAC-DU-CERF","QC",1505
"MOOSONEE","ON",1504
"COWICHAN BAY","BC",1503
"BRUCE MINES","ON",1502
"BULKLEY-NECHAKO D","BC",1502
"EAR FALLS","ON",1501
"LA PATRIE","QC",1501
"UPPER TANTALLON","NS",1500
"YELLOWHEAD","MB",1500
"SPIRIT RIVER","AB",1499
"PARKHILL","ON",1495
"OYEN","AB",1494
"LAMARCHE","QC",1491
"SAINT-FRANCOIS-DE-LA-RIVIERE-DU-SUD","QC",1490
"VIKING","AB",1488
"DOSQUET","QC",1487
"PEACE RIVER REGIONAL DISTRICT","BC",1487
"COOKSTOWN","ON",1487
"CARDIFF","ON",1486
"FRASER VALLEY D","BC",1486
"ARTHUR","ON",1485
"CENTRAL KOOTENAY C","BC",1484
"REDVERS","SK",1482
"SAINT-JEAN-DE-L'ILE-D'ORLEANS","QC",1480
"GREENWOOD","BC",1479
"BAY BULLS","NL",1476
"WEMINDJI","QC",1476
"VALLEY","NS",1476
"CAMLACHIE","ON",1474
"SAINT-JOACHIM","QC",1472
"CENTRAL KOOTENAY G","BC",1470
"JARVIS","ON",1470
"SIOUX NARROWS-NESTOR FALLS","ON",1466
"NEW-WES-VALLEY","NL",1466
"INVERARY","ON",1465
"ELGIN","ON",1464
"WATFORD","ON",1464
"MANITOU BEACH","SK",1464
"INGLESIDE","ON",1462
"MUNDARE","AB",1461
"ONOWAY","AB",1461
"WITLESS BAY","NL",1460
"WELLINGTON","ON",1460
"ROSEDALE","BC",1457
"MAYNE ISLAND","BC",1450
"ST. LAURENT","MB",1450
"SAINT-ANACLET","QC",1449
"SAINTE-MARTHE","QC",1448
"CHAPEAU","QC",1448
"MIMINEGASH","PE",1447
"WEST LORNE","ON",1444
"WESTBURY","QC",1443
"MARSH LAKE","YT",1440
"CARNDUFF","SK",1438
"KILLARNEY","MB",1437
"SAINT-ROMAIN","QC",1435
"WHITEWOOD","SK",1435
"SAINT-BRUNO-LAC-SAINT-JEAN","QC",1435
"MASSEY","ON",1434
"TEMAGAMI","ON",1432
"MANSEAU","QC",1432
"LAC-SAGUAY","QC",1432
"DUNCHURCH","ON",1428
"COBDEN","ON",1427
"MILK RIVER","AB",1426
"MULGRAVE","NS",1422
"CANNINGTON","ON",1420
"RAINY RIVER","ON",1418
"IRRICANA","AB",1418
"SALMON RIVER","NS",1417
"HUDSON'S HOPE","BC",1417
"IRISHTOWN-SUMMERSIDE","NL",1416
"FRASER LAKE","BC",1416
"EMERSON-FRANKLIN","MB",1416
"SAINT-ETIENNE-DE-BEAUHARNOIS","QC",1416
"GILBERT PLAINS","MB",1414
"KERROBERT","SK",1414
"SIFTON","MB",1413
"LINCOLN","NB",1412
"WOLLASTON","ON",1408
"BLACK DIAMOND","AB",1408
"TOBERMORY","ON",1403
"SQUAMISH-LILLOOET C","BC",1402
"LAC-SAINT-PAUL","QC",1401
"DUNROBIN","ON",1401
"SAINTE-JUSTINE-DE-NEWTON","QC",1400
"LEGAL","AB",1396
"ARUNDEL","QC",1395
"ROSENEATH","ON",1394
"FOGO ISLAND","NL",1394
"MCMURRICH/MONTEITH","ON",1394
"GULL LAKE","SK",1394
"COWICHAN","BC",1394
"CHESTERVILLE","QC",1393
"SAINT-LUDGER-DE-MILOT","QC",1391
"TIVERTON","ON",1391
"SAINT-ODILON-DE-CRANBOURNE","QC",1390
"SAINTE-ANNE-DU-LAC","QC",1389
"PORCUPINE","ON",1388
"SOUTH ALGONQUIN","ON",1386
"WESTLAKE-GLADSTONE","MB",1384
"SAINTE-HELENE-DE-KAMOURASKA","QC",1383
"SELKIRK","ON",1382
"THOMPSON-NICOLA O (LOWER NORTH THOMPSON)","BC",1382
"ESKASONI","NS",1381
"MONTROSE","BC",1381
"LANDRIENNE","QC",1380
"WALPOLE ISLAND 46","ON",1378
"DAAJING GIIDS","BC",1375
"CAMPOBELLO ISLAND","NB",1374
"CLARKSBURG","ON",1373
"UPPER ISLAND COVE","NL",1373
"DUCHESS","AB",1371
"WALDHEIM","SK",1368
"SAINT-EMILE-DE-SUFFOLK","QC",1367
"CALEDON VILLAGE","ON",1367
"SAINT-LOUIS-DU-HA! HA!","QC",1364
"KETTLE POINT 44","ON",1364
"LAC-SERGENT","QC",1360
"FRASER VALLEY E","BC",1360
"RIDGETOWN","ON",1358
"MINTO","NB",1358
"OSOYOOS 1","BC",1358
"BOUCTOUCHE","NB",1356
"STUARTBURN","MB",1355
"MORRISBURG","ON",1353
"MARSTON","QC",1350
"HARROWSMITH","ON",1349
"PETIT-SAGUENAY","QC",1348
"STE. ROSE","MB",1346
"BOISSEVAIN-MORTON","MB",1346
"COLDBROOK","NS",1344
"ELMSDALE","NS",1343
"LA CORNE","QC",1342
"IRLANDE","QC",1342
"NOTRE-DAME-DE-LA-PAIX","QC",1341
"CANAL FLATS","BC",1340
"SAINT-JUST-DE-BRETENIERES","QC",1338
"TUDOR AND CASHEL","ON",1334
"KELSEY","MB",1334
"SAINT-MICHEL-DU-SQUATEC","QC",1334
"DENFIELD","ON",1332
"SAINT-EDOUARD-DE-MASKINONGE","QC",1332
"CARROT RIVER","SK",1331
"WASWANIPI","QC",1330
"ROCANVILLE","SK",1330
"SAINT-DAVID","QC",1329
"SAINTE-SOPHIE-DE-LEVRARD","QC",1329
"SAINT-FRANCOIS-DE-SALES","QC",1329
"LOMBARDY","ON",1326
"BOILEAU","QC",1325
"SAINT-EPIPHANE","QC",1325
"SAINT-MARC-DE-FIGUERY","QC",1323
"SAINT-HONORE-DE-TEMISCOUATA","QC",1322
"LUCKNOW","ON",1320
"MAYO","QC",1320
"HONFLEUR","QC",1319
"NORMETAL","QC",1319
"SAINT-ALEXIS","QC",1318
"CAP-PELE","NB",1316
"WAHNAPITAE","ON",1315
"SUN PEAKS","BC",1315
"STANBRIDGE EAST","QC",1314
"DUPUY","QC",1314
"KELVINGTON","SK",1314
"GALIANO ISLAND","BC",1314
"LA DURANTAYE","QC",1314
"ECKVILLE","AB",1314
"SAINT-CHARLES-DE-BOURGET","QC",1314
"WAKAW","SK",1312
"KITIGAN ZIBI","QC",1312
"CONSORT","AB",1312
"MILFORD BAY","ON",1312
"BUENA VISTA","SK",1311
"OAKVIEW","MB",1310
"STAVELY","AB",1310
"MANNVILLE","AB",1308
"CLORIDORME","QC",1308
"SPENCERVILLE","ON",1308
"CHARLIE LAKE","BC",1305
"ESTON","SK",1305
"LANGTON","ON",1305
"GREY","MB",1304
"QATHET D","BC",1304
"RIVERDALE","MB",1302
"BELMONT","ON",1300
"HAVELOCK","QC",1299
"SAINT-RENE","QC",1298
"NAMUR","QC",1296
"MONTAGUE","PE",1293
"WAUBAUSHENE","ON",1291
"CASCAPEDIA-SAINT-JULES","QC",1290
"SAINT-ADELPHE","QC",1290
"LAKE ECHO","NS",1290
"NEW ROSS","NS",1290
"KITSCOTY","AB",1288
"ALFRED","ON",1288
"SAINTE-GERMAINE-BOULE","QC",1288
"COLOMBIER","QC",1287
"ITUNA","SK",1287
"SAINTE-ROSE-DE-WATFORD","QC",1287
"GLENWOOD","NL",1286
"THORNE","QC",1286
"LARDER LAKE","ON",1281
"SOUTH WOODSLEE","ON",1280
"DELISLE","SK",1279
"HAMMOND","ON",1278
"GRAFTON","ON",1278
"RUSAGONIS","NB",1277
"SAINT-MAXIME-DU-MONT-LOUIS","QC",1276
"BLANC-SABLON","QC",1276
"KAMOURASKA","QC",1276
"ECHO BAY","ON",1276
"SAINT-ROSAIRE","QC",1275
"NEW DENVER","BC",1275
"MALIOTENAM 27A","QC",1274
"LINDEN","AB",1273
"OSLER","SK",1272
"NEW GERMANY","NS",1272
"ORONO","ON",1270
"SAINT-SIMON","QC",1270
"PACKINGTON","QC",1269
"SAINT-PHILIPPE-DE-NERI","QC",1269
"THORNHILL","BC",1269
"TRES-SAINT-REDEMPTEUR","QC",1268
"SAINTE-MARGUERITE","QC",1268
"LA SALLE","MB",1268
"FALHER","AB",1266
"FRASER VALLEY B","BC",1264
"UASHAT 27","QC",1264
"NOTRE-DAME-DES-MONTS","QC",1264
"SQUAMISH-LILLOOET D","BC",1264
"IVRY-SUR-LE-LAC","QC",1263
"SAINT-SEVERIN","QC",1262
"SAINT-OMER","QC",1262
"RIPLEY","ON",1261
"CARIBOO C","BC",1260
"FRASER-FORT GEORGE H","BC",1260
"CARDSTON COUNTY","AB",1260
"DELBURNE","AB",1259
"FARO","YT",1257
"CENTRAL KOOTENAY D","BC",1256
"ASSIGINACK","ON",1254
"LEFEBVRE","QC",1254
"CAMBRIDGE BAY","NU",1251
"PEMBINA","MB",1248
"WHITBOURNE","NL",1248
"LANTZ","NS",1247
"CAMERON","ON",1246
"DUPARQUET","QC",1245
"MATAPEDIA","QC",1245
"SPIRITWOOD","SK",1244
"BIG WHITE MOUNTAIN","BC",1243
"HARRISTON","ON",1243
"MADEIRA PARK","BC",1242
"FRASER VALLEY F","BC",1242
"CHESTERVILLE","ON",1239
"LA LOCHE","SK",1237
"KOOTENAY BOUNDARY B / LOWER COLUMBIA-OLD-GLORY","BC",1236
"MACTIER","ON",1235
"BEARN","QC",1234
"SHARON","ON",1234
"AKWESASNE (PART) 59","ON",1234
"SEBA BEACH","AB",1233
"SENNEVILLE","QC",1231
"SAINT-EDOUARD","QC",1230
"BOURGET","ON",1229
"DELORAINE-WINCHESTER","MB",1229
"RED ROCK","ON",1228
"CARLOW/MAYO","ON",1228
"GRANDE CACHE","AB",1228
"CHISHOLM","ON",1228
"THAMESVILLE","ON",1228
"MEMBERTOU 28B","NS",1224
"DUNDURN NO. 314","SK",1222
"BEISEKER","AB",1222
"LEADER","SK",1221
"CARDINAL","ON",1220
"CARDIGAN","PE",1217
"ST-FRANCOIS-XAVIER-DE-BROMPTON","QC",1217
"FORESTBURG","AB",1216
"SAINT-ISIDORE-DE-LAPRAIRIE","QC",1214
"STIRLING","AB",1214
"ST-PIERRE-JOLYS","MB",1214
"SAINTE-BRIGITTE-DES-SAULTS","QC",1214
"INVERNESS","NS",1213
"FOREMOST","AB",1213
"PORT SYDNEY","ON",1211
"CHURCHBRIDGE","SK",1210
"SAINTE-FRANCOISE","QC",1209
"BUCKHORN","ON",1209
"SAINT-FRANCOIS-D'ASSISE","QC",1209
"MUSGRAVE HARBOUR","NL",1209
"SAINT-ANDRE-DE-KAMOURASKA","QC",1208
"SAINT-NAZAIRE-D'ACTON","QC",1206
"EVERETT","ON",1205
"ST. PETERS","PE",1205
"BIRCH HILLS","SK",1205
"STRASBOURG","SK",1204
"MCBRIDE","BC",1201
"MAIDSTONE","ON",1201
"ANOLA","MB",1201
"ARVIAT","NU",1200
"POUCE COUPE","BC",1199
"SAINT-SYLVERE","QC",1198
"PALGRAVE","ON",1198
"HAMPTON","ON",1195
"SEAFORTH","ON",1192
"WARKWORTH","ON",1191
"SAINT-SAMUEL","QC",1190
"SAINT-ISIDORE-DE-CLIFTON","QC",1189
"SAINT-JACQUES-DE-LEEDS","QC",1189
"BAIE-DES-SABLES","QC",1188
"CLINTON","BC",1186
"PERIBONKA","QC",1185
"CAVAN","ON",1183
"WOLSELEY","SK",1182
"SAINT-BARNABE","QC",1182
"TAPPEN","BC",1181
"MURRAY RIVER","PE",1180
"FAIRMONT HOT SPRINGS","BC",1179
"RADVILLE","SK",1178
"DUTTON","ON",1177
"ROSSBURN","MB",1176
"SAINT-EUGENE","QC",1176
"WIKWEMIKONG","ON",1175
"PRAIRIE VIEW","MB",1174
"LES BERGERONNES","QC",1174
"WEST INTERLAKE","MB",1172
"SAINTE-ANGELE-DE-PREMONT","QC",1171
"MONTCERF-LYTTON","QC",1170
"PIPESTONE","MB",1169
"HARVEY YORK CO","NB",1169
"GRANDES-PILES","QC",1168
"PORTNEUF-SUR-MER","QC",1167
"KINGSTON","PE",1164
"ESTEREL","QC",1162
"FALMOUTH","NS",1161
"BILLINGS","ON",1160
"HAINES JUNCTION","YT",1158
"LOCHABER-PARTIE-OUEST","QC",1156
"OIL SPRINGS","ON",1154
"FRASER-FORT GEORGE F","BC",1154
"LEFROY","ON",1154
"BAIE-TRINITE","QC",1152
"KAKABEKA FALLS","ON",1151
"CENTRAL PRINCE","PE",1150
"NOTRE-DAME-AUXILIATRICE-DE-BUCKLAND","QC",1150
"SAINT-THEOPHILE","QC",1149
"WINDSOR","NS",1146
"GARIBALDI HIGHLANDS","BC",1145
"SAINT-MAJORIQUE-DE-GRANTHAM","QC",1144
"BUFFALO NARROWS","SK",1143
"SAINT-LOUIS","QC",1143
"MONT-SAINT-MICHEL","QC",1143
"KEENE","ON",1139
"LA BOSTONNAIS","QC",1139
"PLANTAGENET","ON",1138
"TAGISH","YT",1137
"CLIVE","AB",1137
"BONSECOURS","QC",1136
"DUNSFORD","ON",1135
"LITTLE CURRENT","ON",1134
"EMSDALE","ON",1134
"LAVERLOCHERE-ANGLIERS","QC",1132
"SEELEYS BAY","ON",1131
"MANSFIELD","QC",1130
"BROOKLYN","NS",1130
"YARKER","ON",1127
"MILTONVALE PARK","PE",1126
"NORRIS ARM","NL",1125
"PORT WILLIAMS","NS",1125
"SAINTE-CHRISTINE","QC",1122
"MUSQUEAM 2","BC",1122
"SAINTE-ROSE-DU-NORD","QC",1122
"LA CRETE","AB",1120
"SAINT-BARNABE-SUD","QC",1119
"TOURVILLE","QC",1119
"EASTERN KINGS","PE",1114
"ST. FRANCOIS XAVIER","MB",1110
"FERLAND-ET-BOILLEAU","QC",1107
"SAINT-HUBERT-RIVIERE-DU-LOUP","QC",1106
"SAINT-HENRI-DE-TAILLON","QC",1106
"SAINT-MATHIEU-DE-LAPRAIRIE","QC",1106
"CANTON TREMBLAY","QC",1102
"SAINT-MOISE","QC",1101
"SYDENHAM","ON",1099
"DIVISION NO. 21, UNORGANIZED","MB",1096
"SAINT-JANVIER-DE-JOLY","QC",1096
"OKANAGAN-SIMILKAMEEN B","BC",1096
"COBOCONK","ON",1095
"WARBURG","AB",1092
"HORNBY ISLAND","BC",1092
"COTTAM","ON",1091
"BAYSVILLE","ON",1091
"SAINT-ALEXANDRE-D'IBERVILLE","QC",1091
"DASHWOOD","ON",1090
"PORCUPINE PLAIN","SK",1089
"SAINT-MATHIEU-D'HARRICANA","QC",1087
"MILDMAY","ON",1086
"BURK'S FALLS","ON",1086
"SAINT-TELESPHORE","QC",1084
"HAGUE","SK",1084
"CUDWORTH","SK",1083
"ACME","AB",1083
"108 MILE RANCH","BC",1083
"SAINTE-CLOTILDE-DE-CHATEAUGUAY","QC",1083
"CANDLE LAKE","SK",1082
"BULKLEY-NECHAKO C","BC",1080
"SAINT-PIERRE-BAPTISTE","QC",1079
"EMBRO","ON",1075
"MIDWAY","BC",1075
"SAINTE-APOLLINE-DE-PATTON","QC",1074
"SKOWKALE","BC",1074
"CHAMPION","AB",1073
"CLARKS HARBOUR","NS",1072
"LYNDEN","ON",1072
"SAINTE-HEDWIDGE","QC",1072
"STEWART","BC",1071
"MILVERTON","ON",1070
"HAVRE-AUX-MAISONS","QC",1070
"DIVISION NO.  1, SUBD. E","NL",1070
"ST. GEORGE'S","NL",1070
"SAINTE-LOUISE","QC",1069
"WINDERMERE","BC",1069
"WABANA","NL",1068
"LAC-CAYAMANT","QC",1066
"LAIRD","ON",1066
"POWERVIEW-PINE FALLS","MB",1066
"CAPILANO 5","BC",1066
"HERBERT","SK",1065
"RYERSON","ON",1064
"CARONPORT","SK",1064
"ESGENOOPETITJ 14","NB",1060
"KIPAWA","QC",1059
"ALBERT BRIDGE","NS",1059
"SAINTE-PERPETUE-DE-L'ISLET","QC",1059
